percent	CC_mask	CC_volume	CC_peaks	CC_box	CC_mc	CC_sc	rama_favored	rotamer_favored	clashscore	rama_outliers	rotamer_outliers	cbeta_deviations	Bond	Angle	rama_z
0	-0.241	-0.2251	-0.8779	-0.1091	-0.1263	-0.1023	34.06	0	362.66	37.27	48.65	55.66	0.615	14.258	9.31
0.01	0.19057775	0.1882675	-0.25174275	0.22061025	0.25537775	0.26501025	78.89735	50.32	62.004875000000006	5.541625000000002	15.67265	4.298975000000001	0.032	2.92653	6.226325
0.02	0.33047200000000004	0.327536	-0.11942799999999999	0.282552	0.404408	0.415824	82.2272	62.8916	44.225599999999964	3.4463999999999917	11.77	1.78	0.024	2.371559999999997	5.89
0.03	0.40811149999999996	0.40578200000000003	-0.0412295	0.32920575	0.471341	0.4713	83.91352499999999	66.32352499999999	35.702949999999994	2.58	9.822949999999995	1.12	0.021	2.1486474999999996	5.63
0.04	0.4554345	0.4563345	0.008634499999999998	0.3629	0.5086725	0.5091345	85.31	68.39345	29.81309999999999	1.99	8.23	0.81	0.019	2.018	5.42
0.05	0.494335	0.493	0.06293500000000005	0.3891	0.5412675	0.5358675	86.33	70.05	26.536624999999987	1.61	6.966624999999985	0.62	0.018	1.936	5.25
0.06	0.5252	0.5221	0.10462999999999995	0.4103	0.5629	0.5558329999999999	87.04	71.48	24	1.31	6.1	0.48	0.016	1.879	5.12
0.07	0.5474645	0.5433	0.14173225	0.42892900000000006	0.5821	0.5749	87.59	72.79	22.133550000000028	1.04	5.43	0.39	0.015	1.8326775000000015	4.98
0.08	0.5694315	0.5633315	0.17223149999999998	0.4447	0.597163	0.5896	88.11	74.01315	20.54	0.88	4.88	0.3268500000000044	0.014	1.7786850000000003	4.88
0.09	0.5855	0.5797	0.20359224999999997	0.46073074999999997	0.6115	0.6022615	88.63	75.16	19.35	0.76	4.37	0.28	0.014	1.731	4.78
0.1	0.60053	0.5944	0.23173000000000002	0.4742	0.62223	0.6134	89.04	76.11	18.3	0.67	3.93	0.24	0.013	1.69	4.67
0.11	0.614	0.6070585	0.25822924999999997	0.4866	0.6331	0.6231	89.442925	77.08	17.377074999999998	0.6	3.62	0.2	0.013	1.644	4.56
0.12	0.6256	0.6192285	0.281657	0.4995285	0.6424	0.6328	89.79	77.93285	16.51	0.54	3.337150000000005	0.18	0.013	1.605	4.48
0.13	0.63532775	0.62862775	0.30342775	0.51152775	0.6503	0.6402	90.09	78.82	15.85	0.48	3.06	0.15	0.012	1.566	4.39
0.14	0.6461	0.6381	0.326	0.522127	0.6585	0.6483	90.32	79.5627	15.2	0.43	2.84	0.13	0.012	1.533	4.29
0.15	0.65412625	0.6466525	0.34442625	0.533	0.6653	0.6548	90.582625	80.39	14.6	0.4	2.63	0.11	0.012	1.503	4.21
0.16	0.6624255	0.654251	0.3626255	0.5423255	0.6717	0.6606	90.83	81.13255	14.13	0.37	2.42	0.09	0.011	1.472	4.13
0.17	0.6691	0.66132475	0.3795	0.55292475	0.6779	0.6665	91.07	81.92	13.73	0.34	2.23	0.08	0.011	1.448	4.07
0.18	0.6767	0.6681	0.394524	0.5615	0.684	0.6715	91.29	82.6124	13.36	0.32	2.09	0.07	0.011	1.426	3.99
0.19	0.6835	0.6741	0.40842324999999996	0.5689	0.6893	0.6771	91.48	83.33	12.96	0.3	1.95	0.06	0.011	1.408	3.91
0.2	0.6899	0.6794	0.4215	0.5776	0.6945	0.682	91.66	84.09	12.6	0.27	1.82	0.05	0.01	1.391	3.83
0.21	0.6959	0.68472175	0.43572174999999996	0.5839	0.6991217500000001	0.6867	91.83	84.71	12.29	0.25	1.71	0.04	0.01	1.376	3.76
0.22	0.7018	0.6896	0.447121	0.5905	0.7035	0.6912	92	85.35	11.98	0.24	1.59	0.03	0.01	1.361	3.68
0.23	0.7068	0.6943	0.4565	0.5960202499999999	0.7078	0.6953	92.16	86	11.7	0.22	1.48	0.02	0.01	1.345	3.6
0.24	0.7114	0.6987	0.4673	0.6014	0.7114195	0.699	92.31	86.57	11.43	0.2	1.39	0.02	0.01	1.334	3.52
0.25	0.7158	0.7032	0.477	0.607	0.7158	0.70271875	92.47	87.04	11.15	0.19	1.3	0.01	0.009	1.323	3.44
0.26	0.7197	0.7068	0.485418	0.6121	0.7195	0.7061	92.64	87.5	10.868199999999995	0.18	1.23	0	0.009	1.312	3.37
0.27	0.7238	0.7106	0.4938	0.6169	0.7232	0.7094	92.78	87.92	10.63	0.17	1.16	0	0.009	1.301	3.28
0.28	0.7277	0.7141	0.5002	0.6215	0.7266	0.7125	92.91	88.38	10.43	0.16	1.0883499999999842	0	0.009	1.291	3.21
0.29	0.7315	0.7173	0.50721575	0.6259	0.7301	0.71531575	93.07	88.79	10.21	0.15	1.03	0	0.009	1.28	3.13
0.3	0.7349	0.7205	0.5144	0.629815	0.733415	0.7183	93.2	89.28	10.01	0.14	0.97	0	0.009	1.269	3.04
0.31	0.7381	0.7235	0.5217	0.6343	0.73611425	0.72111425	93.32	89.67	9.82	0.13	0.93	0	0.008	1.26	2.97
0.32	0.7413	0.7263	0.5283	0.6383	0.7391	0.7243	93.44	90.07	9.63	0.12	0.89	0	0.008	1.25	2.9
0.33	0.7443	0.7292	0.5346	0.6421127500000001	0.7421	0.7268	93.56	90.41	9.46	0.11	0.85	0	0.008	1.242	2.83
0.34	0.747	0.7317	0.5399	0.645912	0.7448	0.7291	93.7	90.75	9.29	0.1	0.81	0	0.008	1.234	2.76
0.35	0.75	0.7345	0.5451	0.65001125	0.7474	0.7316	93.81	91.09	9.12	0.09	0.77	0	0.008	1.225	2.69
0.36	0.7531105	0.7372	0.5504	0.6539	0.7502	0.7341	93.93	91.41	8.97895000000001	0.09	0.74	0	0.008	1.217	2.6
0.37	0.7561	0.7397097499999999	0.55520975	0.6576	0.7525	0.7366	94.04	91.71	8.829024999999993	0.08	0.71	0	0.008	1.208	2.52
0.38	0.7586	0.7422	0.5606	0.661609	0.7549	0.7389	94.14	92.06	8.68	0.07	0.67	0	0.008	1.201	2.45
0.39	0.7609	0.7443	0.5659	0.665	0.7572	0.7412	94.24	92.31	8.51	0.07	0.64	0	0.008	1.193	2.38
0.4	0.7633	0.7463075	0.5707	0.6683	0.7596	0.7435	94.35	92.63	8.37	0.06	0.61	0	0.007	1.184	2.31
0.41	0.7657	0.7486	0.5756	0.6717	0.7619	0.7458	94.44	92.88	8.25	0.05	0.58	0	0.007	1.176	2.24
0.42	0.7682	0.7508	0.5802	0.67490000000000006	0.764	0.7479	94.55	93.16	8.12	0.05	0.56	0	0.007	1.168	2.18
0.43	0.7705	0.7532	0.5847	0.6783	0.7665	0.75	94.65	93.41	7.99	0.04	0.53	0	0.007	1.16	2.11
0.44	0.7728	0.7552	0.5889044999999999	0.6822	0.7687	0.7521	94.75	93.68	7.85	0.03	0.5	0	0.007	1.155	2.06
0.45	0.775	0.7575	0.59300375	0.6854	0.7707	0.7541	94.86	93.92	7.719625000000017	0.02	0.48	0	0.007	1.148	2
0.46	0.7771	0.7597	0.5976	0.6886	0.7729	0.7561	94.95	94.14	7.59	0.02	0.45	0	0.007	1.142	1.94
